X-Position,Y-Position,Z-Position,Azimuth,Elevation,Roll
15000,9500,2000,0,0,0
15000,9500,1975.75,0,1.15,0
15000,9500,1951.5,0,2.3,0
15000,9500,1927.25,0,3.45,0
15000,9500,1903,0,4.6,0
15000,9500,1878.75,0,5.75,0
15000,9500,1854.5,0,6.9,0
15000,9500,1830.25,0,8.05,0
15000,9500,1806,0,9.2,0
15000,9500,1781.75,0,10.35,0
15000,9500,1757.5,0,11.5,0
15000,9500,1733.25,0,12.65,0
15000,9500,1709,0,13.8,0
15000,9500,1684.75,0,14.95,0
15000,9500,1660.5,0,16.1,0
15000,9500,1636.25,0,17.25,0
15000,9500,1612,0,18.4,0
15000,9500,1587.75,0,19.55,0
15000,9500,1563.5,0,20.7,0
15000,9500,1539.25,0,21.85,0
15000,9500,1515,0,23,0
15000,9500,1490.75,0,24.15,0
15000,9500,1466.5,0,25.3,0
15000,9500,1442.25,0,26.45,0
15000,9500,1418,0,27.6,0
15000,9500,1393.75,0,28.75,0
15000,9500,1369.5,0,29.9,0
15000,9500,1345.25,0,31.05,0
15000,9500,1321,0,32.2,0
15000,9500,1296.75,0,33.35,0
15000,9500,1272.5,0,34.5,0
15000,9500,1248.25,0,35.65,0
15000,9500,1224,0,36.8,0
15000,9500,1199.75,0,37.95,0
15000,9500,1175.5,0,39.1,0
15000,9500,1151.25,0,40.25,0
15000,9500,1127,0,41.4,0
15000,9500,1102.75,0,42.55,0
15000,9500,1078.5,0,43.7,0
15000,9500,1054.25,0,44.85,0
15000,9500,1030,0,46,0
15000,9500,1005.75,0,47.15,0
15000,9500,981.5,0,48.3,0
15000,9500,957.25,0,49.45,0
15000,9500,933,0,50.6,0
15000,9500,908.75,0,51.75,0
15000,9500,884.5,0,52.9,0
15000,9500,860.25,0,54.05,0
15000,9500,836,0,55.2,0
15000,9500,811.75,0,56.35,0
15000,9500,787.5,0,57.5,0
15000,9500,763.25,0,58.65,0
15000,9500,739,0,59.8,0
15000,9500,714.75,0,60.95,0
15000,9500,690.5,0,62.1,0
15000,9500,666.25,0,63.25,0
15000,9500,642,0,64.4,0
15000,9500,617.75,0,65.55,0
15000,9500,593.5,0,66.7,0
15000,9500,569.25,0,67.85,0
15000,9500,545,0,69,0
15000,9500,520.75,0,70.15,0
15000,9500,496.5,0,71.3,0
15000,9500,472.25,0,72.45,0
15000,9500,448,0,73.6,0
15000,9500,423.75,0,74.75,0
15000,9500,399.5,0,75.9,0
15000,9500,375.25,0,77.05,0
15000,9500,351,0,78.2,0
15000,9500,326.75,0,79.35,0
15000,9500,302.5,0,80.5,0
15000,9500,278.25,0,81.65,0
15000,9500,254,0,82.8,0
15000,9500,229.75,0,83.95,0
15000,9500,205.5,0,85.1,0
15000,9500,181.25,0,86.25,0
15000,9500,157,0,87.4,0
15000,9500,132.75,0,88.55,0
15000,9500,108.5,0,89.7,0
15000,9500,84.25,0,90,0
14900,9500,84.25,0,90,0
14800,9500,84.25,0,90,0
14700,9500,84.25,0,90,0
14600,9500,84.25,0,90,0
14500,9500,84.25,0,90,0
14400,9500,84.25,0,90,0
14300,9500,84.25,0,90,0
14200,9500,84.25,0,90,0
14100,9500,84.25,0,90,0
14000,9500,84.25,0,90,0
13900,9500,84.25,0,90,0
13800,9500,84.25,0,90,0
13700,9500,84.25,2.5,90,0
13600,9500,84.25,5,90,0
13500,9500,84.25,7.5,90,0
13400,9500,84.25,10,90,0
13300,9500,84.25,12.5,90,0
13200,9500,84.25,15,90,0
13100,9500,84.25,17.5,90,0
13000,9500,84.25,20,90,0
12900,9500,84.25,22.5,90,0
12800,9500,84.25,25,90,0
12700,9500,84.25,27.5,90,0
12600,9500,84.25,30,90,0
12500,9500,84.25,32.5,90,0
12400,9500,84.25,35,90,0
12300,9500,84.25,37.5,90,0
12200,9500,84.25,40,90,0
12100,9500,84.25,42.5,90,0
12000,9500,84.25,45,90,0
11900,9500,84.25,47.5,90,0
11800,9500,84.25,50,90,0
11700,9500,84.25,52.5,90,0
11600,9600,84.25,55,90,0
11500,9700,84.25,57.5,90,0
11400,9800,84.25,60,90,0
11300,9900,84.25,62.5,90,0
11200,10000,84.25,65,90,0
11100,10100,84.25,67.5,90,0
11000,10200,84.25,70,90,0
10900,10300,84.25,72.5,90,0
10800,10400,84.25,75,90,0
10700,10500,84.25,77.5,90,0
10600,10600,84.25,80,90,0
10500,10700,84.25,82.5,90,0
10400,10800,84.25,85,90,0
10300,10900,84.25,87.5,90,0
10200,11000,84.25,90,90,0
10100,11100,84.25,90,90,0
10100,11200,84.25,90,90,0
10100,11300,84.25,90,90,0
10100,11400,84.25,90,90,0
10100,11500,84.25,90,90,0
10100,11600,84.25,90,90,0
10100,11700,84.25,90,90,0
10100,11800,84.25,90,90,0
10100,11900,84.25,90,90,0
10100,12000,84.25,90,90,0
10100,12100,84.25,90,90,0
10100,12200,84.25,90,90,0
10100,12300,84.25,90,90,0
10100,12400,84.25,90,90,0
10100,12500,84.25,90,90,0
10100,12600,84.25,90,90,0
10100,12700,84.25,90,90,0
10100,12800,84.25,90,90,0
10100,12900,84.25,90,90,0
10100,13000,84.25,90,90,0
10100,13100,84.25,90,90,0
10100,13200,84.25,90,90,0
10100,13300,84.25,90,90,0
10100,13400,84.25,90,90,0
10100,13500,84.25,90,90,0
10100,13600,84.25,90,90,0
10100,13700,84.25,90,90,0
10100,13800,84.25,90,90,0
10100,13900,84.25,90,90,0
10100,14000,84.25,90,90,0
10100,14100,84.25,90,90,0
10100,14200,84.25,90,90,0
10100,14300,84.25,90,90,0
10100,14400,84.25,90,90,0
10100,14500,84.25,90,90,0
10100,14600,84.25,90,90,0
10100,14700,84.25,90,90,0
10100,14800,84.25,90,90,0
10100,14900,84.25,90,90,0
10100,15000,84.25,90,90,0
10100,15100,84.25,90,90,0
10100,15200,84.25,90,90,0
10100,15300,84.25,90,90,0
10100,15400,84.25,90,90,0
10100,15500,84.25,90,90,0
10100,15600,84.25,90,90,0
10100,15700,84.25,90,90,0
10100,15800,84.25,90,90,0
10100,15900,84.25,90,90,0
10100,16000,84.25,90,90,0
10100,16100,84.25,90,90,0
10100,16200,84.25,90,90,0
